bdi_mean,bdi_std,bdi_min,bdi_max,bdi_range,bdi_cv,bdi_month_return,bdi_first_half_mean,bdi_second_half_mean,bdi_trend_shift,bdi_extreme_day_count,bdi_pct_extreme_days,bdi_n_days,Date,bdi_momentum_3m,bdi_rolling_vol_3m,bdi_rolling_mean_6m
1370.55,29.557528651766543,1319.0,1406.0,87.0,0.02156618047628072,-0.0007575757575757347,1374.1,1367.0,-7.099999999999909,0.0,0.0,20.0,2000-01-01,,,
1392.952380952381,91.67098320078023,1276.0,1531.0,255.0,0.0658105649944067,0.16781083142639197,1304.6,1473.2727272727273,168.67272727272734,0.0,0.0,21.0,2000-02-01,,,
1620.695652173913,27.90267991275748,1547.0,1660.0,113.0,0.017216483474445276,0.07304460245636712,1609.7272727272727,1630.75,21.022727272727252,0.0,0.0,23.0,2000-03-01,,138.4086410841294,
1666.5882352941176,18.094714286805065,1628.0,1686.0,58.0,0.010857339505706838,-0.02456560814859199,1680.125,1654.5555555555557,-25.569444444444343,0.0,0.0,17.0,2000-04-01,0.21599958797133834,146.54334259498168,
1601.8,15.907859692617357,1566.0,1622.0,56.0,0.009931239663264676,-0.03452527743526512,1612.4,1591.2,-21.200000000000045,0.0,0.0,20.0,2000-05-01,0.14993162860659104,33.318389039307554,
1588.6363636363637,26.04113084848215,1559.0,1626.0,67.0,0.016392128144967304,0.03457106274007682,1564.6363636363637,1612.6363636363637,48.0,0.0,0.0,22.0,2000-06-01,-0.01978118994429745,41.727870482022134,1540.2037720094625
1618.2380952380952,12.504874333081792,1600.0,1642.0,42.0,0.007727462584077852,0.017978921264724113,1606.3,1629.090909090909,22.790909090909054,0.0,0.0,21.0,2000-07-01,-0.02901144927828536,14.831019358039487,1581.4851212158117
1638.857142857143,7.686015218041972,1627.0,1652.0,25.0,0.004689862842250157,0.004255319148936065,1643.1,1635.0,-8.099999999999909,0.0,0.0,21.0,2000-08-01,0.02313468776198202,25.243924365014244,1622.4692481999389
1711.5238095238096,25.936954786226668,1661.0,1740.0,79.0,0.015154305562037727,0.046959662853702566,1688.4,1732.5454545454545,44.14545454545441,0.0,0.0,21.0,2000-09-01,0.07735404319095296,49.00308503716318,1637.6072744249213
1734.3181818181818,14.217103539675415,1718.0,1759.0,41.0,0.008197517438680623,0.01383285302593662,1722.7272727272727,1745.909090909091,23.181818181818244,0.0,0.0,22.0,2000-10-01,0.07173239025930078,49.85451803708407,1648.895598845599
